meta_award_label,meta_award_label_details,event_year,event_ref,event_alternative,event_type,,place_city,place_country,artwork_ref,artwork_alternative,comments
Prix de la ville de Regensburg,,2018,,Regensburg,Film Festival,,Regensburg,Allemagne,Ondes noires film de Ismaël Joffroy Chandoutis |code:770,,
Grand Prix ,,2018,Poitiers Films Festival - Poitiers (FR) |code:1162,,Film Festival,,Poitiers,France,All movements should kill the wind film de Yuyan Wang |code:1211,,
Grand prix du public,,2017,,Monde en images,Film Festival,,Cucuron,France,Âhlé Hava - Les habitants du vent film de Abtin Sarabi |code:562,,
Mention spéciale du jury,,2017,,RISC,Film Festival,,Marseille,France,Ciudad Maya film de Andrés Padilla Domene |code:680,,
Mention honorable ,,2017,VidéObrasil - Sao Paulo (BR) |code:1114,,Film Festival,,Sao Paulo,Brésil,Ciudad Maya film de Andrés Padilla Domene |code:680,,
Prix de la danse avec caméra,,2017,Short Waves - Poznan (PL) |code:1037,,Short Film Festival,,Poznan,Pologne,TACT film de Thibaud Le Maguer |code:676,,
Mention spéciale du jury,,2017,Palm Springs - Palm Springs (US) |code:1075,,Film Festival,,Palm Spring,Etats-Unis,"I made you, I kill you film de Alexandru Petru Bǎdelițǎ |code:658",,
Prix de l'innovation,,2017,,L'Acharnière,Film Festival,,Lille,France,"I made you, I kill you film de Alexandru Petru Bǎdelițǎ |code:658",,
Grand prix art vidéo,,2017,CôTé Court - Pantin (FR) |code:1071,,Short Film Festival,,Pantin,France,TACT film de Thibaud Le Maguer |code:676,,
Prix du public,,2017,Bieff - Bucarest (RO) |code:1030,,Film Festival,,Bucarest,Roumanie,"I made you, I kill you film de Alexandru Petru Bǎdelițǎ |code:658",,
Meilleur court-métrage,,2017,,IBAFF,Film Festival,,Murcia,Espagne,Le Park film de Randa Maroufi |code:587,,
Videonale Award,fluentum collection,2017,,Videonale,Film Festival,,Bonn,Allemagne,Le Park film de Randa Maroufi |code:587,,
Meilleur court-métrage,,2016,,RIDM,International Documentary Film Festival,,Montréal,Canada,Isabella Morra film de Isabel Pagliai |code:574,,
Mention spécial,,2016,Iffr - Rotterdam (NL) |code:1008,,Film Festival,,Rotterdam,Pays-Bas,Le Park film de Randa Maroufi |code:587,,
Mention spéciale du jury (photographie),,2016,Festival De Clermont-Ferrand - Clermont-Ferrand (FR) |code:1015,,Short Film Festival,,Clermont-Ferrand,France,Isabella Morra film de Isabel Pagliai |code:574,,
